"CardID","Set","CardName","Type","EnergyType","TotalCount","DeckCount"
"base1-91","base1","Bill","Trainer","","297","83"
"base1-88","base1","Professor Oak","Trainer","","204","78"
"base1-84","base1","PlusPower","Trainer","","140","43"
"base1-92","base1","Energy Removal","Trainer","","131","44"
"base1-94","base1","Potion","Trainer","","109","39"
"base1-80","base1","Defender","Trainer","","102","40"
"base3-59","base3","Energy Search","Trainer","","98","27"
"base1-96","base1","Double Colorless Energy","Special Energy","","82","22"
"base1-77","base1","Pokémon Trader","Trainer","","75","38"
"base1-93","base1","Gust of Wind","Trainer","","61","27"
"base5-73","base5","The Boss's Way","Trainer","","44","16"
"base1-95","base1","Switch","Trainer","","39","21"
"base1-90","base1","Super Potion","Trainer","","32","13"
"base5-76","base5","Imposter Oak's Revenge","Trainer","","30","8"
"gym2-116","gym2","Master Ball","Trainer","","28","9"
"base1-43","base1","Abra","Pokemon","Psychic","24","6"
"base1-52","base1","Machop","Pokemon","Fighting","24","6"
"gym1-19","gym1","The Rocket's Trap","Trainer","","24","6"
"base1-75","base1","Lass","Trainer","","23","9"
"base1-63","base1","Squirtle","Pokemon","Water","22","6"
"base3-62","base3","Mysterious Fossil","Trainer","","20","5"
"base1-20","base1","Electabuzz","Pokemon","Lightning","20","5"
"base1-42","base1","Wartortle","Pokemon","Water","20","6"
"base3-10","base3","Lapras","Pokemon","Water","20","6"
"base5-74","base5","Challenge!","Trainer","","20","5"
"base1-71","base1","Computer Search","Trainer","","19","10"
"base1-83","base1","Maintenance","Trainer","","18","7"
"base1-70","base1","Clefairy Doll","Trainer","","18","5"
"base1-81","base1","Energy Retrieval","Trainer","","18","8"
"base1-76","base1","Pokémon Breeder","Trainer","","18","8"
"base1-47","base1","Diglett","Pokemon","Fighting","17","5"
"base3-47","base3","Geodude","Pokemon","Fighting","16","4"
"base1-61","base1","Rattata","Pokemon","Colorless","16","4"
"base1-69","base1","Weedle","Pokemon","Grass","16","4"
"basep-28","basep","Surfing Pikachu","Pokemon","Lightning","16","4"
"base1-46","base1","Charmander","Pokemon","Fire","16","4"
"base1-45","base1","Caterpie","Pokemon","Grass","16","4"
"base5-67","base5","Slowpoke","Pokemon","Psychic","16","4"
"base5-69","base5","Voltorb","Pokemon","Lightning","16","4"
"base1-48","base1","Doduo","Pokemon","Colorless","16","4"
"basep-11","basep","Eevee","Pokemon","Colorless","16","4"
"base1-35","base1","Magikarp","Pokemon","Water","16","4"
"base1-67","base1","Voltorb","Pokemon","Lightning","16","4"
"base5-56","base5","Ekans","Pokemon","Grass","16","5"
"base1-44","base1","Bulbasaur","Pokemon","Grass","16","4"
"base5-58","base5","Koffing","Pokemon","Grass","15","4"
"base5-82","base5","Potion Energy","Special Energy","","15","5"
"base5-17","base5","Rainbow Energy","Special Energy","","15","5"
"base1-26","base1","Dratini","Pokemon","Colorless","15","4"
"base2-51","base2","Eevee","Pokemon","Colorless","15","6"
"base1-55","base1","Nidoran ♂","Pokemon","Grass","15","4"
"base1-41","base1","Seel","Pokemon","Water","15","4"
"base1-7","base1","Hitmonchan","Pokemon","Fighting","14","4"
"base1-2","base1","Blastoise","Pokemon","Water","13","4"
"base5-55","base5","Eevee","Pokemon","Colorless","13","5"
"base1-30","base1","Ivysaur","Pokemon","Grass","13","4"
"base1-78","base1","Scoop Up","Trainer","","13","4"
"base1-33","base1","Kakuna","Pokemon","Grass","13","4"
"base5-81","base5","Full Heal Energy","Special Energy","","13","4"
"basep-25","basep","Flying Pikachu","Pokemon","Lightning","12","3"
"base2-5","base2","Kangaskhan","Pokemon","Colorless","12","3"
"base2-53","base2","Goldeen","Pokemon","Water","12","3"
"base5-70","base5","Zubat","Pokemon","Grass","12","4"
"gym2-118","gym2","Misty's Tears","Trainer","","12","3"
"base1-59","base1","Poliwag","Pokemon","Water","12","3"
"base1-74","base1","Item Finder","Trainer","","12","6"
"base1-49","base1","Drowzee","Pokemon","Psychic","12","3"
"base1-24","base1","Charmeleon","Pokemon","Fire","12","4"
"base2-63","base2","Venonat","Pokemon","Grass","12","3"
"gym2-17","gym2","Blaine","Trainer","","12","3"
"base1-68","base1","Vulpix","Pokemon","Fire","12","3"
"base2-11","base2","Snorlax","Pokemon","Colorless","12","3"
"base1-6","base1","Gyarados","Pokemon","Water","12","3"
"base1-25","base1","Dewgong","Pokemon","Water","12","4"
"base5-66","base5","Rattata","Pokemon","Colorless","12","3"
"base5-62","base5","Meowth","Pokemon","Colorless","11","3"
"base5-42","base5","Dark Persian","Pokemon","Colorless","11","4"
"base5-54","base5","Drowzee","Pokemon","Psychic","11","3"
"base5-57","base5","Grimer","Pokemon","Grass","11","3"
"base2-52","base2","Exeggcute","Pokemon","Grass","11","3"
"base5-2","base5","Dark Arbok","Pokemon","Grass","11","3"
"base3-37","base3","Graveler","Pokemon","Fighting","10","3"
"base1-17","base1","Beedrill","Pokemon","Grass","10","3"
"base1-34","base1","Machoke","Pokemon","Fighting","10","3"
"base3-39","base3","Magmar","Pokemon","Fire","10","3"
"base3-31","base3","Arbok","Pokemon","Grass","10","3"
"base1-3","base1","Chansey","Pokemon","Colorless","10","4"
"base2-9","base2","Pinsir","Pokemon","Grass","10","3"
"base1-27","base1","Farfetch'd","Pokemon","Colorless","10","4"
"base2-54","base2","Jigglypuff","Pokemon","Colorless","10","3"
"base2-10","base2","Scyther","Pokemon","Grass","10","3"
"base2-64","base2","Poké Ball","Trainer","","9","4"
"base3-13","base3","Muk","Pokemon","Grass","9","3"
"base3-48","base3","Grimer","Pokemon","Grass","9","3"
"base1-54","base1","Metapod","Pokemon","Grass","9","3"
"base1-32","base1","Kadabra","Pokemon","Psychic","9","3"
"base1-18","base1","Dragonair","Pokemon","Colorless","9","3"
"base5-38","base5","Dark Jolteon","Pokemon","Lightning","9","3"
"base1-28","base1","Growlithe","Pokemon","Fire","8","2"
"gym1-109","gym1","Erika's Maids","Trainer","","8","2"
"base3-49","base3","Horsea","Pokemon","Water","8","2"
"gym2-76","gym2","Giovanni's Nidoran ♂","Pokemon","Grass","8","2"
"base5-3","base5","Dark Blastoise","Pokemon","Water","8","2"
"base1-53","base1","Magnemite","Pokemon","Lightning","8","2"
"base2-49","base2","Bellsprout","Pokemon","Grass","8","2"
"base1-57","base1","Pidgey","Pokemon","Colorless","8","2"
"base2-56","base2","Meowth","Pokemon","Colorless","8","2"
"base5-63","base5","Oddish","Pokemon","Grass","8","2"
"base1-82","base1","Full Heal","Trainer","","8","3"
"base2-57","base2","Nidoran ♀","Pokemon","Grass","8","2"
"base1-37","base1","Nidorino","Pokemon","Grass","8","3"
"gym1-12","gym1","Rocket's Moltres","Pokemon","Fire","8","2"
"gym2-19","gym2","Koga","Trainer","","8","2"
"base1-65","base1","Staryu","Pokemon","Water","8","2"
"base1-14","base1","Raichu","Pokemon","Lightning","8","3"
"base1-15","base1","Venusaur","Pokemon","Grass","8","2"
"gym2-15","gym2","Rocket's Zapdos","Pokemon","Lightning","8","2"
"base3-56","base3","Tentacool","Pokemon","Water","8","2"
"base3-54","base3","Shellder","Pokemon","Water","8","2"
"base1-62","base1","Sandshrew","Pokemon","Fighting","8","2"
"base5-65","base5","Psyduck","Pokemon","Water","8","2"
"base5-50","base5","Charmander","Pokemon","Fire","8","2"
"base1-60","base1","Ponyta","Pokemon","Fire","8","2"
"gym1-114","gym1","Misty's Wrath","Trainer","","8","3"
"gym1-100","gym1","Erika","Trainer","","8","2"
"gym1-117","gym1","Sabrina's ESP","Trainer","","8","2"
"base2-61","base2","Rhyhorn","Pokemon","Fighting","8","2"
"basep-2","basep","Electabuzz","Pokemon","Lightning","8","2"
"base3-46","base3","Ekans","Pokemon","Grass","8","3"
"gym1-15","gym1","Brock","Trainer","","8","2"
"base1-66","base1","Tangela","Pokemon","Grass","8","2"
"basep-26","basep","Pikachu","Pokemon","Lightning","8","2"
"gym1-118","gym1","Secret Mission","Trainer","","8","2"
"base5-60","base5","Magnemite","Pokemon","Lightning","8","2"
"base2-6","base2","Mr. Mime","Pokemon","Psychic","8","2"
"base5-47","base5","Magikarp","Pokemon","Water","8","2"
"base3-53","base3","Psyduck","Pokemon","Water","8","2"
"base3-51","base3","Krabby","Pokemon","Water","8","2"
"base5-77","base5","Nightly Garbage Run","Trainer","","8","2"
"gym1-106","gym1","Brock's Training Method","Trainer","","8","2"
"base2-50","base2","Cubone","Pokemon","Fighting","8","2"
"base2-59","base2","Paras","Pokemon","Grass","8","2"
"base5-45","base5","Dark Vaporeon","Pokemon","Water","8","3"
"base5-8","base5","Dark Gyarados","Pokemon","Water","7","2"
"base2-4","base2","Jolteon","Pokemon","Lightning","7","3"
"base1-38","base1","Poliwhirl","Pokemon","Water","7","2"
"gym2-45","gym2","Giovanni's Nidorino","Pokemon","Grass","7","2"
"base5-41","base5","Dark Muk","Pokemon","Grass","7","2"
"base1-79","base1","Super Energy Removal","Trainer","","7","3"
"base5-32","base5","Dark Charmeleon","Pokemon","Fire","7","2"
"base3-43","base3","Slowbro","Pokemon","Psychic","7","2"
"basep-27","basep","Pikachu","Pokemon","Lightning","7","3"
"base2-33","base2","Butterfree","Pokemon","Grass","7","2"
"base5-53","base5","Dratini","Pokemon","Colorless","7","2"
"base1-58","base1","Pikachu","Pokemon","Lightning","7","3"
"base3-50","base3","Kabuto","Pokemon","Fighting","7","2"
"base5-12","base5","Dark Slowbro","Pokemon","Psychic","7","2"
"base5-83","base5","Dark Raichu","Pokemon","Lightning","7","2"
"base1-5","base1","Clefairy","Pokemon","Colorless","7","2"
"base5-14","base5","Dark Weezing","Pokemon","Grass","7","2"
"base2-16","base2","Wigglytuff","Pokemon","Colorless","7","2"
"base5-40","base5","Dark Machoke","Pokemon","Fighting","7","2"
"base5-46","base5","Dark Wartortle","Pokemon","Water","6","2"
"base5-16","base5","Rocket's Sneak Attack","Trainer","","6","2"
"base5-61","base5","Mankey","Pokemon","Fighting","6","2"
"base5-6","base5","Dark Dugtrio","Pokemon","Fighting","6","2"
"base1-56","base1","Onix","Pokemon","Fighting","6","2"
"base3-52","base3","Omanyte","Pokemon","Water","6","2"
"base2-47","base2","Tauros","Pokemon","Colorless","6","2"
"base5-4","base5","Dark Charizard","Pokemon","Fire","6","2"
"base1-36","base1","Magmar","Pokemon","Fire","6","2"
"base2-37","base2","Gloom","Pokemon","Grass","6","2"
"base5-34","base5","Dark Electrode","Pokemon","Lightning","6","2"
"base2-36","base2","Fearow","Pokemon","Colorless","6","2"
"base5-68","base5","Squirtle","Pokemon","Water","6","2"
"base2-34","base2","Dodrio","Pokemon","Colorless","6","2"
"base5-43","base5","Dark Primeape","Pokemon","Fighting","6","2"
"gym1-37","gym1","Blaine's Magmar","Pokemon","Fire","6","2"
"base2-40","base2","Nidorina","Pokemon","Grass","6","2"
"base5-52","base5","Diglett","Pokemon","Fighting","6","2"
"base3-36","base3","Golem","Pokemon","Fighting","6","2"
"base3-33","base3","Gastly","Pokemon","Psychic","6","2"
"base5-9","base5","Dark Hypno","Pokemon","Psychic","6","2"
"base1-31","base1","Jynx","Pokemon","Psychic","6","2"
"base5-51","base5","Dark Raticate","Pokemon","Colorless","6","2"
"base1-4","base1","Charizard","Pokemon","Fire","6","3"
"gym2-7","gym2","Giovanni's Nidoking","Pokemon","Grass","6","2"
"base3-32","base3","Cloyster","Pokemon","Water","6","2"
"base2-55","base2","Mankey","Pokemon","Fighting","6","2"
"base1-8","base1","Machamp","Pokemon","Fighting","6","2"
"base3-38","base3","Kingler","Pokemon","Water","6","2"
"base3-7","base3","Hitmonlee","Pokemon","Fighting","6","2"
"base2-39","base2","Marowak","Pokemon","Fighting","6","2"
"base2-45","base2","Rhydon","Pokemon","Fighting","6","2"
"base2-48","base2","Weepinbell","Pokemon","Grass","6","2"
"base3-2","base3","Articuno","Pokemon","Water","6","2"
"base1-22","base1","Pidgeotto","Pokemon","Colorless","6","2"
"base3-1","base3","Aerodactyl","Pokemon","Fighting","5","2"
"base3-4","base3","Dragonite","Pokemon","Colorless","5","2"
"base2-3","base2","Flareon","Pokemon","Fire","5","3"
"gym2-37","gym2","Brock's Vulpix","Pokemon","Fire","5","2"
"base3-8","base3","Hypno","Pokemon","Psychic","5","2"
"basep-1","basep","Pikachu","Pokemon","Lightning","5","2"
"base1-1","base1","Alakazam","Pokemon","Psychic","5","2"
"base3-34","base3","Golbat","Pokemon","Grass","5","2"
"base2-1","base2","Clefable","Pokemon","Colorless","5","2"
"base2-13","base2","Venomoth","Pokemon","Grass","5","2"
"base5-35","base5","Dark Flareon","Pokemon","Fire","5","2"
"base5-33","base5","Dark Dragonair","Pokemon","Colorless","5","2"
"base5-10","base5","Dark Machamp","Pokemon","Fighting","5","2"
"basep-4","basep","Pikachu","Pokemon","Lightning","5","2"
"base2-12","base2","Vaporeon","Pokemon","Water","5","2"
"base3-35","base3","Golduck","Pokemon","Water","5","2"
"base1-64","base1","Starmie","Pokemon","Water","5","2"
"base2-44","base2","Rapidash","Pokemon","Fire","5","2"
"base1-9","base1","Magneton","Pokemon","Lightning","5","2"
"base3-11","base3","Magneton","Pokemon","Lightning","5","2"
"base3-9","base3","Kabutops","Pokemon","Fighting","5","2"
"base5-37","base5","Dark Golduck","Pokemon","Water","5","2"
"base2-35","base2","Exeggutor","Pokemon","Grass","5","2"
"base1-23","base1","Arcanine","Pokemon","Fire","5","2"
"base1-21","base1","Electrode","Pokemon","Lightning","5","2"
"base2-2","base2","Electrode","Pokemon","Lightning","5","2"
"base3-41","base3","Sandslash","Pokemon","Fighting","5","2"
"gym1-8","gym1","Lt. Surge's Magneton","Pokemon","Lightning","5","2"
"gym1-22","gym1","Brock's Rhyhorn","Pokemon","Fighting","4","1"
"gym2-73","gym2","Giovanni's Magikarp","Pokemon","Water","4","1"
"base5-49","base5","Abra","Pokemon","Psychic","4","1"
"gym1-112","gym1","Lt. Surge's Treaty","Trainer","","4","1"
"base1-51","base1","Koffing","Pokemon","Grass","4","2"
"base3-5","base3","Gengar","Pokemon","Psychic","4","1"
"gym2-98","gym2","Sabrina's Porygon","Pokemon","Colorless","4","1"
"gym1-121","gym1","Blaine's Gamble","Trainer","","4","1"
"base5-48","base5","Porygon","Pokemon","Colorless","4","1"
"gym2-51","gym2","Lt. Surge's Eevee","Pokemon","Colorless","4","1"
"base2-62","base2","Spearow","Pokemon","Colorless","4","1"
"gym1-11","gym1","Rocket's Hitmonchan","Pokemon","Fighting","4","1"
"base2-38","base2","Lickitung","Pokemon","Colorless","4","2"
"gym1-97","gym1","Blaine's Quiz #1","Trainer","","4","1"
"base1-16","base1","Zapdos","Pokemon","Lightning","4","1"
"gym2-75","gym2","Giovanni's Nidoran ♀","Pokemon","Grass","4","1"
"gym2-111","gym2","Blaine's Quiz #2","Trainer","","4","1"
"gym2-14","gym2","Rocket's Mewtwo","Pokemon","Psychic","4","1"
"base5-44","base5","Dark Rapidash","Pokemon","Fire","4","1"
"gym1-33","gym1","Rocket's Snorlax","Pokemon","Colorless","4","2"
"gym1-57","gym1","Misty's Tentacool","Pokemon","Water","4","1"
"base5-7","base5","Dark Golbat","Pokemon","Grass","4","1"
"gym1-50","gym1","Lt. Surge's Magnemite","Pokemon","Lightning","4","1"
"gym1-47","gym1","Erika's Oddish","Pokemon","Grass","4","1"
"gym2-83","gym2","Koga's Zubat","Pokemon","Grass","4","1"
"gym2-94","gym2","Sabrina's Abra","Pokemon","Psychic","4","1"
"gym2-112","gym2","Blaine's Quiz #3","Trainer","","4","1"
"gym2-97","gym2","Sabrina's Gastly","Pokemon","Psychic","4","1"
