Type,Name,CH1 Day,CH1 Eve,CH1 Nite,CH2 Day,CH2 Eve,CH2 Nite,CH3 Day,CH3 Eve,CH3 Nite,CH4 Day,CH4 Eve,CH4 Nite,CH5 Day,CH5 Eve,CH5 Nite,VF4 Day,VF4 Eve,VF4 Nite,VF5 Day,VF5 Eve,VF5 Nite
NPC,Car Park Guy 1,X,X,X,X,,,X,X,,X,X,,X,X,,,,,,,
NPC,Badman 1,X,X,X,,,,,,,,,,,,,,,,,,
NPC,Badman 2,X,X,X,,,,,,,,,,,,,,,,,,
NPC,Biker1,X,X,X,,,,,,,,,,,,,,,,,,
NPC,Biker2,X,X,X,,,,,,,,,,,,,,,,,,
NPC,Biker3,X,X,X,,,,,,,,,,,,,,,,,,
NPC,Biker4,X,X,X,,,,,,,,,,,,,,,,,,
NPC,Biker5,X,X,X,,,,,,,,,,,,,,,,,,
NPC,Biker6,X,X,X,,,,,,,,,,,,,,,,,,
NPC,Biker7,X,X,X,,,,,,,,,,,,,,,,,,
NPC,Biker8,X,X,X,,,,,,,,,,,,,,,,,,
OPP,Fisherman Dave,X,X,,,,,X,,,,,,X,X,,,,,,,
OPP,Gambler Mick,X,X,,,,,,,,,,,,,,,,,,,
OPP,Schoolboy Adam,X,X,,,,,,,,,,,,,,,,,,,
OPP,Youngster Joey,X,X,,,,,,,,,,,,,,,,,,,
NPC,Maintenance Guy Fixing The Lighthouse,X,,,,,,,,,,,,,,,,,,,,
NPC,Maintenance Guy Watering Sunflowers,X,,,,,,,,,,,,,,,,,,,,
NPC,Man Staring Out To Sea,X,,,,,,,,,,,,,,,,,,,,
NPC,Old Guy Neighbour Day 1,X,,,,,,,,,,,,,,,,,,,,
NPC,Old Lady On Bench Day 1,X,,,,,,,,,,,,,,,,,,,,
NPC,Policeman Blocking Beach,X,,,,,,,,,,,,,,,,,,,,
NPC,Woman Staring Out To Sea,X,,,,,,,,,,,,,,,,,,,,
NPC,Policeman Blocking Beach Bl,,X,X,,,,,,,,,,,,,,,,,,
OPP,Fisherman John,,X,X,,,,X,,,X,,,X,,,,,,,,
OPP,Gardener Callum,,X,X,,,,,X,X,,X,X,,X,X,,,,,,
OPP,Engineer Allan,,X,X,,,,,,,,,,,,,,,,,,
OPP,Painter Jericho,,X,X,,,,,,,,,,,,,,,,,,
NPC,Old Guy Neighbour Eve 1,,X,,,,,,,,,,,,,,,,,,,
NPC,Old Lady On Bench Eve 1,,X,,,,,,,,,,,,,,,,,,,
NPC,Sailor 2 Pier 1,,,,X,X,X,,,,,,,,,,,,,,,
NPC,Sailor Working On Dock,,,,X,X,X,,,,,,,,,,,,,,,
NPC,Psychic Brienne,,,,X,X,,X,X,,X,X,,X,X,,,,,,,
NPC,Maintenance Guy Blocking Forest,,,,X,X,,X,X,,,X,,X,X,,,,,,,
NPC,Captain 1,,,,X,X,,,,,,,,,,,,,,,,
NPC,Old Guy Neighbour Day 2,,,,X,X,,,,,,,,,,,,,,,,
NPC,Sailor Bob,,,,X,X,,,,,,,,,,,,,,,,
NPC,Station Manager,,,,X,X,,,,,,,,,,,,,,,,
NPC,Sunbathing Coin Giver,,,,X,X,,,,,,,,,,,,,,,,
NPC,3rd Woman Drinking Juice,,,,X,,,X,,,X,,,X,,,,,,,,
NPC,Firebreather Darryl,,,,X,,,,X,,,X,,,X,,,,,,,
NPC,Firebreather Kenneth,,,,X,,,,X,,,X,,,X,,,,,,,
NPC,2nd Woman Drinking Juice,,,,X,,,,,,,,,,,,,,,,,
NPC,Child,,,,X,,,,,,,,,,,,,,,,,
NPC,Fisherman 2 Drinking Juice,,,,X,,,,,,,,,,,,,,,,,
NPC,Fisherman Drinking Juice,,,,X,,,,,,,,,,,,,,,,,
NPC,Jogger,,,,X,,,,,,,,,,,,,,,,,
NPC,Juicebar Woman (From Staring Out To Sea),,,,X,,,,,,,,,,,,,,,,,
NPC,Kid Opening Packs,,,,X,,,,,,,,,,,,,,,,,
NPC,Lapras,,,,X,,,,,,,,,,,,,,,,,
NPC,Maintenance Guy Watering Sunflowers Day 2,,,,X,,,,,,,,,,,,,,,,,
NPC,Man Staring Out To Sea Day 2,,,,X,,,,,,,,,,,,,,,,,
NPC,Mother,,,,X,,,,,,,,,,,,,,,,,
NPC,Mother 2,,,,X,,,,,,,,,,,,,,,,,
NPC,Policeman Blocking Beach Day 2,,,,X,,,,,,,,,,,,,,,,,
NPC,Sunbathing Couple F,,,,X,,,,,,,,,,,,,,,,,
NPC,Sunbathing Couple M,,,,X,,,,,,,,,,,,,,,,,
NPC,Sunbathing Dude 1,,,,X,,,,,,,,,,,,,,,,,
NPC,Super Elder Hamish Day 2,,,,X,,,,,,,,,,,,,,,,,
NPC,Woman Drinking Juice,,,,X,,,,,,,,,,,,,,,,,
NPC,Woman Trying To Shop,,,,X,,,,,,,,,,,,,,,,,
NPC,Woman Walking The Neighbourhood Day 2,,,,X,,,,,,,,,,,,,,,,,
OPP,Swimmer Jordan,,,,X,X,,X,X,,X,X,,X,X,,,,,,,
OPP,Birdspotter Tamsin,,,,X,X,,X,,,X,,,X,,,,,,,,
OPP,Bug Catcher Alex,,,,X,X,,X,,,X,,,X,,,,,,,,
OPP,Swimmer Todd,,,,X,X,,X,,,X,,,X,,,,,,,,
OPP,Beach Kid Evie,,,,X,,,X,,,X,,,X,,,,,,,,
OPP,Beach Kid Timothy,,,,X,,,X,,,X,,,X,,,,,,,,
NPC,Beach Kid Evie,,,,,X,,,,,,,,,,,,,,,,
NPC,Beach Kid Timothy,,,,,X,,,,,,,,,,,,,,,,
NPC,Car Park Guy Evening 2,,,,,X,,,,,,,,,,,,,,,,
NPC,Juicebar Woman (From Staring Out To Sea) Evening,,,,,X,,,,,,,,,,,,,,,,
NPC,Man Staring Out To Sea Eve 2,,,,,X,,,,,,,,,,,,,,,,
NPC,Mother 2 Evening,,,,,X,,,,,,,,,,,,,,,,
NPC,Policeman Blocking Beach Eve 2,,,,,X,,,,,,,,,,,,,,,,
NPC,Sunbathing Dude 1 Eve,,,,,X,,,,,,,,,,,,,,,,
NPC,Super Elder 1 Eve,,,,,X,,,,,,,,,,,,,,,,
NPC,Woman Walking The Neighbourhood Eve,,,,,X,,,,,,,,,,,,,,,,
NPC,Sunbathing Dude 1 Night,,,,,,X,,,,,,,,,,,,,,,
NPC,Bakery Shopkeeper,,,,,,,X,X,,X,X,,X,X,,,,,,,
NPC,Coin Shopkeeper,,,,,,,X,X,,X,X,,X,X,,,,,,,
NPC,Fruit And Veg Shopkeeper,,,,,,,X,X,,X,X,,X,X,,,,,,,
NPC,Holo Rare Shopkeeper,,,,,,,X,X,,X,X,,X,X,,,,,,,
NPC,Juicebar Woman (From Staring Out To Sea) Day 3,,,,,,,X,X,,X,X,,X,X,,,,,,,
NPC,Sailor Working On Dock Day 3,,,,,,,X,X,,X,X,,X,X,,,,,,,
NPC,Sailor Working On SS Anne,,,,,,,X,X,,X,X,,X,X,,,,,,,
NPC,SS Anne Waiter,,,,,,,X,X,,X,X,,X,X,,,,,,,
NPC,SS Anne Waitress,,,,,,,X,X,,X,X,,X,X,,,,,,,
NPC,Sunbathing Sailor 1,,,,,,,X,X,,X,X,,X,X,,,,,,,
NPC,Sailor 2 Pier 1 Day 3,,,,,,,X,X,,,X,,X,X,,,,,,,
NPC,Train Employee 2,,,,,,,X,X,,,X,,X,X,,,,,,,
NPC,Card Elder Hamish Day 3,,,,,,,X,X,,,,,X,X,,,,,,,
NPC,Card Elder Rayne Day 3,,,,,,,X,X,,,,,X,X,,,,,,,
NPC,Card Elder Waverly Day 3,,,,,,,X,X,,,,,X,X,,,,,,,
NPC,2nd Woman Drinking Juice Day 3,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Bakery Lover,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Child At Bakery,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Employee F Drinking Juice,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Erika NPC,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Jogger Day 3,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Juice Drinking Jogger,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Juice Drinking Sailor 1,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Juice Drinking Sailor 2,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Lt Surge NPC,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Man Staring Out To Sea Day 3,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Misty NPC,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Mother 2 Day 3,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Mother At Bakery,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Mother Of Twins,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Plaza Challenger 6,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Plaza Challenger 8,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Sailor Bob Day 3,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Smoking Sailor,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Station Manager Day 3,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Sunbathing Dude 1 Day 3,,,,,,,X,,,X,,,X,,,,,,,,
