ID,Name,Count,Decks
base5-74,Challenge!,0,0
base3-3,Ditto,0,0
base5-78,Goop Gas Attack,0,0
base5-15,Here Comes Team Rocket!,0,0
base3-12,Moltres,0,0
base3-58,Mr. Fuji,0,0
base1-87,Pokédex,0,0
base1-85,Pokémon Center,0,0
base1-86,Pokémon Flute,0,0
base1-39,Porygon,0,0
base1-16,Zapdos,0,0
base5-7,Dark Golbat,4,1
base1-72,Devolution Spray,4,1
base5-75,Digger,4,1
base5-77,Nightly Garbage Run,4,1
base3-55,Slowpoke,4,1
base5-49,Abra,4,1
base1-1,Alakazam,3,1
base5-1,Dark Alakazam,3,1
base5-6,Dark Dugtrio,3,1
base5-36,Dark Gloom,4,1
base5-39,Dark Kadabra,3,1
base5-11,Dark Magneton,3,1
base5-43,Dark Primeape,3,1
base5-44,Dark Rapidash,4,1
base5-13,Dark Vileplume,4,1
base5-52,Diglett,2,1
base1-21,Electrode,2,1
base1-27,Farfetch'd,2,1
base3-60,Gambler,4,1
base1-50,Gastly,2,1
base3-5,Gengar,4,1
base3-36,Golem,3,1
base1-29,Haunter,4,1
base3-6,Haunter,2,1
base1-73,Impostor Professor Oak,2,1
basep-7,Jigglypuff,2,1
base5-59,Machop,4,1
base1-53,Magnemite,4,1
base3-11,Magneton,2,1
base2-55,Mankey,4,1
base5-61,Mankey,4,1
basep-10,Meowth,4,1
basep-14,Mewtwo,2,1
basep-3,Mewtwo,2,1
base1-12,Ninetales,2,1
base2-58,Oddish,4,1
base2-41,Parasect,3,1
base2-42,Persian,3,1
base2-8,Pidgeot,2,1
base1-13,Poliwrath,4,1
base5-64,Ponyta,4,1
base5-48,Porygon,4,1
base2-43,Primeape,3,1
base3-14,Raichu,1,1
base1-40,Raticate,3,1
base3-61,Recycle,2,1
base1-89,Revive,2,1
gym1-11,Rocket's Hitmonchan,4,1
gym2-14,Rocket's Mewtwo,4,1
gym1-13,Rocket's Scyther,4,1
base5-79,Sleep!,4,1
base3-43, ,3,1
base2-62,Spearow,4,1
basep-18,Team Rocket's Meowth,2,1
base2-14,Victreebel,3,1
base2-15,Vileplume,3,1
base5-12,Dark Slowbro,7,2
base2-33,Butterfree,7,2
base5-8,Dark Gyarados,7,2
basep-2,Electabuzz,8,2
base5-47,Magikarp,8,2
base1-15,Venusaur,8,2
base3-1,Aerodactyl,5,2
base1-23,Arcanine,5,2
base3-2,Articuno,6,2
base2-49,Bellsprout,8,2
base1-3,Chansey,4,2
